id,label,parent_ids,common_names,technical_name,short_description,function,location,triggers,upper_lower,sort_order,icon,is_active,source_type,is_scorable,is_default,is_advanced
QUAD_INNER,Inner Quad,"[""QUADS""]","[""Inner Quad"",""Tear Drop"",""VMO""]",Vastus Medialis,The teardrop-shaped stabilizer just above the knee.,Knee extension and patellar (kneecap) stabilization.,The medial (inner) lower portion of the front thigh.,Leg extensions with toes pointed slightly outward; cyclist squats.,"[""LOWER""]",74,,TRUE,seed,TRUE,TRUE,FALSE
QUAD_MID,Mid Quad,"[""QUADS""]","[""Mid Quad"",""Middle Quad"",""Rectus Femoris""]",Rectus Femoris,The central quad muscle that also crosses the hip joint.,Knee extension combined with hip flexion.,The center mass of the front thigh.,"Sissy squats, standard leg extensions, and high knees.","[""LOWER""]",75,,TRUE,seed,TRUE,TRUE,FALSE
QUAD_OUTER,Outer Quad,"[""QUADS""]","[""Outer Quad"",""Quad Sweep"",""Outer Thigh""]",Vastus Lateralis,The large outer muscle giving the thigh its sweep.,Powerful knee extension.,The lateral (outer) portion of the front thigh.,"Narrow stance squats, leg press, or extensions with toes pointed inward.","[""LOWER""]",76,,TRUE,seed,TRUE,TRUE,FALSE
SHINS,Shins,"[""LEGS""]","[""Shins"",""Front Calves"",""Tibialis"",""Tibialis Anterior"",""Front Shin""]",Tibialis Anterior,The muscles on the front of the lower leg.,Dorsiflexion (pulling the toes up toward the knee).,"The anterior portion of the lower leg, next to the shinbone.","Toe raises, walking backwards, heel walking.","[""LOWER""]",77,,TRUE,seed,TRUE,TRUE,FALSE
THIGHS_INNER,Adductors,"[""THIGHS""]","[""Adductors"",""Inner Thighs"",""Groin"",""Inner Thigh""]","Adductor group (magnus, longus, brevis)",Brings the legs toward the midline,Hip adduction & pelvic stabilization,Inner upper thigh / groin,"Sumo stance, side lunges, cable adductions","[""LOWER""]",78,,TRUE,seed,TRUE,TRUE,FALSE
ADDUCTOR_BREVIS,Adductor Brevis,"[""THIGHS_INNER""]","[""Adductor Brevis"",""Inner Thigh"",""Deep Adductor""]",Adductor Brevis,"A deep inner-thigh adductor that supports thigh pulling power and hip stability, especially in athletic stances.",Hip adduction; assists hip flexion and helps stabilize the femur in the hip socket.,"Deep medial thigh, between adductor longus and adductor magnus, near the upper inner thigh.",Hip adductor machine; Copenhagen planks; sumo stances; lateral lunges and wide-stance squats.,"[""LOWER""]",79,,TRUE,admin,TRUE,FALSE,TRUE
ADDUCTOR_LONGUS,Adductor Longus,"[""THIGHS_INNER""]","[""Adductor Longus"",""Inner Thigh"",""Inner Adductor""]",Adductor Longus,"The most commonly “felt” inner-thigh adductor in machine and wide-stance work, contributing to groin strength and leg control.",Hip adduction; assists hip flexion and internal rotation; stabilizes the pelvis during gait and stance.,"Upper medial thigh, running from the pubic bone toward the inner femur (mid-thigh region).",Hip adductor machine; wide-stance squats/leg press; Copenhagen planks; lateral lunges.,"[""LOWER""]",80,,TRUE,admin,TRUE,FALSE,TRUE
ADDUCTOR_MAGNUS,Adductor Magnus,"[""THIGHS_INNER""]","[""Big Adductor"",""Inner Hamstring Helper""]",Adductor Magnus,"The largest inner thigh muscle, heavily involved in deep squats.",Hip adduction and assistance in hip extension.,The bulk of the inner thigh.,Deep sumo squats and heavy adductor machine work.,"[""LOWER""]",81,,TRUE,seed,TRUE,TRUE,FALSE
GRACILIS,Gracilis,"[""THIGHS_INNER""]","[""Gracilis"",""Inner Thigh Strap"",""Medial Thigh""]",Gracilis,"A long strap-like inner-thigh muscle that links hip and knee function, supporting groin strength and knee control.",Hip adduction; assists knee flexion and slight internal rotation of the tibia; contributes to medial knee stability.,"Superficial medial thigh, running from the pubic region down to the inner knee.",Hip adductor machine; Copenhagen planks; hamstring curls with slight internal rotation; lateral lunges.,"[""LOWER""]",82,,TRUE,admin,TRUE,FALSE,TRUE
PECTINEUS,Pectineus,"[""THIGHS_INNER""]","[""Pectineus"",""Upper Inner Thigh"",""Groin Flexor""]",Pectineus,"An upper inner-thigh “groin” muscle that blends adduction with hip-flexion support, often felt in deep hip angles.",Hip adduction and hip flexion; assists internal rotation and stabilizes the front of the hip.,"High medial thigh/groin area, just below the hip joint at the upper inner thigh.",Hanging/lying leg raises (hip flexion bias); deep squats; adductor machine (upper-range); lateral lunges.,"[""LOWER""]",83,,TRUE,admin,TRUE,FALSE,TRUE
THIGHS_OUTER,Outer Hips/Thighs,"[""THIGHS""]","[""Outer Hips"",""Outer Thigh"",""Abductors""]",Musculi Abductores,The muscles pushing the legs apart.,Hip abduction (pushing the femurs away from the midline).,The lateral (outside) portion of the hips and upper thigh.,Abductor machines and lateral banded walks.,"[""LOWER""]",84,,TRUE,seed,TRUE,TRUE,FALSE
TFL,Tensor Fasciae Latae,"[""THIGHS_OUTER""]","[""TFL"",""Tensor Fasciae Latae"",""Outer Hip Flexor"",""Hip Side""]",Tensor Fasciae Latae,A small but important outer-hip muscle that helps control hip position and stabilize the knee during lower-body movement.,"Hip abduction, hip flexion, and internal rotation; assists in pelvic stability and lateral knee control.","Outer front hip, running from the iliac crest to the iliotibial band (IT band) on the outside of the thigh.",Hip abduction machine work; banded lateral walks; cable hip abductions; single-leg stability work.,"[""LOWER""]",85,,TRUE,admin,TRUE,FALSE,TRUE
TIBIALIS_ANTERIOR,Tibialis Anterior,[],"[""Tibialis Anterior"",""Shin Muscle"",""Dorsiflexor"",""Front Shin""]",Tibialis anterior,Primary muscle for lifting the foot upward,Dorsiflexion & inversion of the ankle,Anterior lower leg (shin),"Dorsiflexion, shin raises, uphill walking","[""LOWER""]",85,,FALSE,seed,TRUE,TRUE,FALSE
FULL_BODY,Full Body,[],"[""Full Body"",""Compound"",""Total Body""]",Totum Corpus,Systemic movements engaging the entire muscular system.,Maximum force production and systemic energy expenditure.,The entire skeletal musculature.,"Olympic lifting, heavily loaded carries, or explosive plyometrics.","[""UPPER"",""LOWER""]",86,,TRUE,seed,TRUE,TRUE,FALSE
